housing_median_age,total_rooms,population,median_income,median_house_value,distance_to_nearest_city,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,bedrooms_to_rooms_ratio,households_to_population_ratio
43.0,1007.0,558.0,1.7348,137500.0,14.05,0,0,0,1,0.3098311817279047,0.45340501792114696
40.0,624.0,423.0,0.9506,187500.0,14.88,0,0,0,1,0.3125,0.37825059101654845
40.0,946.0,700.0,1.775,112500.0,14.05,0,0,0,1,0.3964059196617336,0.5028571428571429
21.0,896.0,735.0,0.9218,171900.0,14.05,0,0,0,1,0.5055803571428571,0.5959183673469388
43.0,1868.0,1061.0,1.5045,93800.0,14.05,0,0,0,1,0.24411134903640258,0.3836003770028275
41.0,3221.0,1959.0,1.1108,97500.0,14.05,0,0,0,1,0.26482458863706926,0.3675344563552833
52.0,1630.0,1162.0,1.2475,104200.0,14.05,0,0,0,1,0.27975460122699386,0.3442340791738382
52.0,1170.0,701.0,1.6098,87500.0,13.24,0,0,0,1,0.20085470085470086,0.33238231098430815
52.0,945.0,576.0,1.4113,83100.0,13.24,0,0,0,1,0.2571428571428571,0.3819444444444444
52.0,1238.0,622.0,1.5057,87500.0,13.24,0,0,0,1,0.23263327948303716,0.41639871382636656
52.0,1489.0,728.0,0.8172,85300.0,13.24,0,0,0,1,0.22498321020819342,0.33516483516483514
52.0,1387.0,1074.0,1.2171,80300.0,13.24,0,0,0,1,0.24585436193222782,0.28305400372439476
2.0,158.0,94.0,2.5625,60000.0,12.43,0,0,0,1,0.2721518987341772,0.6063829787234043
52.0,1121.0,554.0,3.3929,75700.0,12.91,0,0,0,1,0.18822479928635147,0.33754512635379064
49.0,135.0,86.0,6.1183,75000.0,12.43,0,0,0,1,0.21481481481481482,0.26744186046511625
50.0,760.0,377.0,0.9011,86100.0,12.02,0,0,0,1,0.25,0.32360742705570295
52.0,1224.0,521.0,1.191,76100.0,11.19,0,0,0,1,0.19362745098039216,0.30518234165067176
48.0,828.0,392.0,2.5938,73500.0,11.19,0,0,0,1,0.21980676328502416,0.3392857142857143
52.0,1010.0,604.0,1.1667,78400.0,11.19,0,0,0,1,0.20693069306930692,0.30960264900662254
48.0,1455.0,788.0,0.8056,84400.0,11.19,0,0,0,1,0.24329896907216494,0.4213197969543147
52.0,1027.0,492.0,2.6094,81300.0,11.71,0,0,0,1,0.23758519961051608,0.29878048780487804
52.0,572.0,274.0,1.8516,85000.0,11.19,0,0,0,1,0.19055944055944055,0.29927007299270075
46.0,2801.0,1823.0,0.9802,129200.0,12.02,0,0,0,1,0.22991788646911818,0.3351618211738892
26.0,768.0,392.0,1.7719,82500.0,12.02,0,0,0,1,0.19791666666666666,0.3239795918367347
46.0,935.0,582.0,0.7286,95200.0,12.02,0,0,0,1,0.3176470588235294,0.47594501718213056
49.0,844.0,560.0,1.75,75000.0,12.02,0,0,0,1,0.24170616113744076,0.2714285714285714
46.0,12.0,18.0,0.4999,67500.0,12.02,0,0,0,1,0.3333333333333333,0.3888888888888889
20.0,835.0,290.0,2.483,137500.0,12.02,0,0,0,1,0.19281437125748502,0.4586206896551724
17.0,1237.0,762.0,0.9241,177500.0,12.86,0,0,0,1,0.3734842360549717,0.5761154855643045
36.0,2914.0,1236.0,2.4464,102100.0,12.86,0,0,0,1,0.1928620452985587,0.41181229773462785
19.0,1207.0,721.0,1.1111,108300.0,12.86,0,0,0,1,0.20132560066280034,0.2871012482662968
23.0,1745.0,1054.0,0.8026,112500.0,12.02,0,0,0,1,0.21432664756446992,0.3083491461100569
38.0,684.0,344.0,2.0114,131300.0,12.56,0,0,0,1,0.2573099415204678,0.45058139534883723
17.0,924.0,609.0,1.5,162500.0,12.86,0,0,0,1,0.31277056277056275,0.4745484400656814
52.0,210.0,183.0,1.1667,112500.0,13.7,0,0,0,1,0.26666666666666666,0.30601092896174864
52.0,340.0,200.0,1.5208,112500.0,12.86,0,0,0,1,0.2852941176470588,0.435
52.0,386.0,346.0,0.8075,137500.0,12.86,0,0,0,1,0.42487046632124353,0.4479768786127168
35.0,948.0,467.0,1.8088,118800.0,12.86,0,0,0,1,0.1940928270042194,0.3618843683083512
52.0,773.0,377.0,2.4083,98200.0,12.86,0,0,0,1,0.18499353169469598,0.3050397877984085
40.0,880.0,582.0,0.977,118800.0,13.7,0,0,0,1,0.5125,0.6529209621993127
10.0,875.0,546.0,0.76,162500.0,13.7,0,0,0,1,0.3977142857142857,0.6043956043956044
10.0,105.0,125.0,0.9722,137500.0,13.42,0,0,0,1,0.4,0.312
52.0,249.0,396.0,1.2434,500001.0,13.42,0,0,0,1,0.3132530120481928,0.21464646464646464
16.0,994.0,800.0,2.0938,162500.0,13.42,0,0,0,1,0.39436619718309857,0.4525
52.0,215.0,904.0,0.8668,137500.0,12.56,0,0,0,1,0.4046511627906977,0.09734513274336283
52.0,96.0,191.0,0.75,162500.0,12.56,0,0,0,1,0.3229166666666667,0.17801047120418848
27.0,1055.0,718.0,2.6354,187500.0,13.24,0,0,0,1,0.3289099526066351,0.4206128133704735
39.0,1715.0,1327.0,1.8477,179200.0,13.42,0,0,0,1,0.363265306122449,0.3519216277317257
36.0,5329.0,3469.0,2.0096,130000.0,14.28,0,0,0,1,0.4648151623193845,0.6696454309599308
31.0,4596.0,2048.0,2.8345,183800.0,14.88,0,0,0,1,0.28959965187119235,0.576171875
29.0,335.0,202.0,2.0062,125000.0,14.54,0,0,0,1,0.3194029850746269,0.4504950495049505
22.0,3682.0,2024.0,1.2185,170000.0,14.88,0,0,0,1,0.3449212384573601,0.6175889328063241
37.0,3633.0,1838.0,2.6104,193100.0,14.88,0,0,0,1,0.29865125240847784,0.5331882480957563
29.0,4656.0,2304.0,2.4912,257800.0,15.39,0,0,0,1,0.30369415807560135,0.5425347222222222
28.0,5806.0,2563.0,3.2177,273400.0,15.39,0,0,0,1,0.27609369617636925,0.5840811548966055
39.0,854.0,389.0,3.125,237500.0,15.39,0,0,0,1,0.28337236533957844,0.5861182519280206
52.0,2155.0,895.0,2.5795,350000.0,15.39,0,0,0,1,0.3252900232018561,0.6849162011173184
34.0,5871.0,2689.0,2.8406,335700.0,14.54,0,0,0,1,0.3260091977516607,0.665303086649312
52.0,1509.0,674.0,4.9306,313400.0,16.54,0,0,0,1,0.14910536779324055,0.3620178041543027
52.0,2026.0,709.0,3.2727,268500.0,16.24,0,0,0,1,0.23790720631786771,0.6431593794076164
52.0,1758.0,686.0,3.1691,259400.0,15.39,0,0,0,1,0.2616609783845279,0.6151603498542274
52.0,3481.0,1444.0,3.9,275700.0,16.54,0,0,0,1,0.21574260270037346,0.49722991689750695
28.0,3337.0,1520.0,3.9063,225000.0,15.71,0,0,0,1,0.25621816002397363,0.5276315789473685
52.0,1424.0,550.0,5.0917,262500.0,15.71,0,0,0,1,0.2029494382022472,0.46
32.0,3809.0,1806.0,2.6429,218500.0,15.71,0,0,0,1,0.28826463638750327,0.5658914728682171
26.0,3959.0,1749.0,3.0233,255000.0,15.71,0,0,0,1,0.30209648901237685,0.6958261863922242
52.0,2376.0,939.0,3.1484,224100.0,16.09,0,0,0,1,0.23526936026936027,0.5527156549520766
35.0,1613.0,675.0,3.4722,243100.0,16.09,0,0,0,1,0.2653440793552387,0.6251851851851852
52.0,1279.0,534.0,3.1429,231600.0,16.09,0,0,0,1,0.22439405785770133,0.5449438202247191
28.0,5022.0,2558.0,2.4234,218500.0,16.09,0,0,0,1,0.34846674631620866,0.6493354182955434
52.0,4190.0,1786.0,3.0897,234100.0,16.09,0,0,0,1,0.2637231503579952,0.5806270996640538
50.0,2515.0,970.0,5.8596,327600.0,18.15,0,0,0,1,0.15864811133200796,0.3845360824742268
47.0,3175.0,1098.0,5.2868,347600.0,18.15,0,0,0,1,0.14299212598425196,0.44171220400728595
41.0,2576.0,794.0,5.956,366100.0,16.91,0,0,0,1,0.15760869565217392,0.473551637279597
37.0,334.0,98.0,4.9643,335000.0,17.84,0,0,0,1,0.16167664670658682,0.47959183673469385
52.0,2800.0,1061.0,6.3434,373600.0,18.62,0,0,0,1,0.1467857142857143,0.37983034872761545
52.0,3529.0,1177.0,5.1773,389500.0,17.34,0,0,0,1,0.16265230943610087,0.4715378079864061
52.0,2612.0,901.0,7.2354,391100.0,17.84,0,0,0,1,0.139739663093415,0.40732519422863483
28.0,5287.0,2031.0,5.457,337300.0,19.41,0,0,0,1,0.1982220540949499,0.4707040866568193
50.0,2935.0,1031.0,7.5,295200.0,18.95,0,0,0,1,0.16115843270868824,0.46459747817652763
44.0,3424.0,1358.0,6.0194,292300.0,19.77,0,0,0,1,0.174357476635514,0.43961708394698085
40.0,4991.0,1616.0,7.5544,411500.0,19.39,0,0,0,1,0.13504307753957123,0.40470297029702973
30.0,2211.0,844.0,6.0666,311500.0,20.59,0,0,0,1,0.15649027589326098,0.40639810426540285
34.0,3038.0,1140.0,7.0548,325900.0,19.77,0,0,0,1,0.16129032258064516,0.43508771929824563
18.0,1617.0,533.0,11.6017,392600.0,21.41,0,0,0,1,0.12987012987012986,0.36397748592870544
35.0,2865.0,1072.0,7.4882,319300.0,20.59,0,0,0,1,0.16055846422338568,0.41324626865671643
34.0,5065.0,1627.0,6.8976,333300.0,19.39,0,0,0,1,0.15557749259624876,0.47080516287645974
28.0,1326.0,463.0,8.2049,335200.0,21.07,0,0,0,1,0.138763197586727,0.4103671706263499
26.0,1589.0,542.0,8.401,351200.0,20.23,0,0,0,1,0.14033983637507866,0.3892988929889299
29.0,1791.0,661.0,6.8538,368900.0,21.07,0,0,0,1,0.15131211613623674,0.4069591527987897
32.0,1835.0,635.0,8.317,365900.0,20.77,0,0,0,1,0.1438692098092643,0.4141732283464567
37.0,1229.0,420.0,7.0175,366700.0,19.92,0,0,0,1,0.14727420667209112,0.41904761904761906
39.0,3770.0,1265.0,6.3302,362800.0,19.92,0,0,0,1,0.14164456233421752,0.3952569169960474
30.0,292.0,126.0,6.3624,483300.0,21.4,0,0,0,1,0.13013698630136986,0.4126984126984127
52.0,2375.0,813.0,7.0549,331400.0,19.07,0,0,0,1,0.14021052631578948,0.43050430504305043
45.0,2964.0,1067.0,6.7851,323500.0,19.67,0,0,0,1,0.14709851551956815,0.3992502343017807
50.0,2833.0,1260.0,2.8929,216700.0,18.61,0,0,0,1,0.21355453582774445,0.4380952380952381
38.0,2254.0,951.0,3.0812,233100.0,18.61,0,0,0,1,0.23735581188997337,0.5120925341745531
52.0,1389.0,510.0,5.2402,296400.0,18.81,0,0,0,1,0.15262778977681785,0.4392156862745098
52.0,1971.0,765.0,6.5217,273700.0,17.95,0,0,0,1,0.16996448503297817,0.40261437908496733
52.0,2183.0,1129.0,3.2632,227700.0,17.74,0,0,0,1,0.21300961978928082,0.40744021257750224
52.0,2286.0,1073.0,3.0298,199600.0,17.74,0,0,0,1,0.20297462817147857,0.4109972041006524
52.0,2721.0,1185.0,4.5428,239800.0,17.74,0,0,0,1,0.1988239617787578,0.4345991561181435
52.0,2024.0,756.0,4.072,270100.0,17.95,0,0,0,1,0.1674901185770751,0.4497354497354497
52.0,2944.0,1034.0,5.3509,302100.0,17.95,0,0,0,1,0.18206521739130435,0.5038684719535783
52.0,2033.0,787.0,3.1603,269500.0,16.88,0,0,0,1,0.23905558288243975,0.5832274459974587
52.0,1433.0,612.0,4.7708,314700.0,17.09,0,0,0,1,0.159804605722261,0.3480392156862745
52.0,2927.0,1021.0,8.1564,390100.0,17.95,0,0,0,1,0.13734198838401093,0.3721841332027424
52.0,2315.0,861.0,8.8793,410300.0,17.09,0,0,0,1,0.126133909287257,0.29965156794425085
52.0,2485.0,953.0,6.8591,352400.0,16.24,0,0,0,1,0.12595573440643862,0.34312696747114374
52.0,1490.0,634.0,6.0302,287300.0,16.24,0,0,0,1,0.1597315436241611,0.4037854889589905
52.0,2814.0,878.0,7.508,348700.0,17.09,0,0,0,1,0.1297085998578536,0.4009111617312073
52.0,2093.0,918.0,2.7477,243800.0,16.24,0,0,0,1,0.26278069756330624,0.5261437908496732
52.0,888.0,360.0,2.1944,211500.0,16.01,0,0,0,1,0.1891891891891892,0.4861111111111111
52.0,2087.0,1197.0,3.0149,218400.0,15.15,0,0,0,1,0.24436990896023,0.4076858813700919
52.0,2513.0,1048.0,3.675,269900.0,16.24,0,0,0,1,0.19976124154397135,0.49427480916030536
46.0,3232.0,1373.0,3.225,218800.0,15.39,0,0,0,1,0.2583539603960396,0.5440640932265113
42.0,4120.0,1715.0,2.9345,225000.0,15.15,0,0,0,1,0.25849514563106796,0.5918367346938775
43.0,2364.0,1359.0,2.1429,250000.0,15.15,0,0,0,1,0.3350253807106599,0.5312729948491538
41.0,1471.0,1062.0,1.6121,171400.0,15.15,0,0,0,1,0.318830727396329,0.3888888888888889
29.0,2468.0,1335.0,1.3929,193800.0,15.15,0,0,0,1,0.3500810372771475,0.5790262172284644
27.0,1632.0,1171.0,2.3173,125000.0,15.86,0,0,0,1,0.3014705882352941,0.3663535439795047
45.0,1786.0,1475.0,1.7772,97500.0,14.98,0,0,0,1,0.2945128779395297,0.31186440677966104
50.0,629.0,742.0,2.6458,125000.0,14.98,0,0,0,1,0.2988871224165342,0.2641509433962264
52.0,1339.0,1086.0,2.181,138800.0,14.98,0,0,0,1,0.29200896191187453,0.3342541436464088
36.0,1678.0,1645.0,2.2303,116700.0,15.15,0,0,0,1,0.36114421930870083,0.33009118541033433
43.0,2344.0,1710.0,1.6504,151800.0,15.15,0,0,0,1,0.27602389078498296,0.37660818713450295
52.0,996.0,731.0,2.2697,127000.0,16.01,0,0,0,1,0.2289156626506024,0.3119015047879617
52.0,1591.0,1118.0,2.1563,128600.0,16.01,0,0,0,1,0.23444374607165305,0.3103756708407871
52.0,1586.0,1006.0,2.1348,140600.0,16.01,0,0,0,1,0.2509457755359395,0.33300198807157055
47.0,2046.0,1213.0,2.6292,182700.0,16.01,0,0,0,1,0.2873900293255132,0.45671887881286066
52.0,1192.0,772.0,2.3833,146900.0,16.88,0,0,0,1,0.2424496644295302,0.3329015544041451
52.0,1803.0,1321.0,2.957,122800.0,16.01,0,0,0,1,0.23294509151414308,0.303557910673732
49.0,2838.0,1487.0,2.5238,169300.0,16.01,0,0,0,1,0.2639182522903453,0.45527908540685946
52.0,783.0,488.0,1.9375,126600.0,16.88,0,0,0,1,0.23499361430395913,0.38114754098360654
51.0,1590.0,949.0,1.9028,127900.0,16.88,0,0,0,1,0.26037735849056604,0.4130663856691254
50.0,1746.0,1149.0,2.25,123500.0,16.88,0,0,0,1,0.27491408934707906,0.36118363794604
52.0,1252.0,844.0,2.3929,111900.0,16.88,0,0,0,1,0.2388178913738019,0.33175355450236965
43.0,5963.0,4367.0,2.1917,112800.0,16.73,0,0,0,1,0.2253899044105316,0.2818868788642088
52.0,1783.0,1659.0,2.9357,107900.0,16.73,0,0,0,1,0.22153673583847447,0.24834237492465341
30.0,999.0,1011.0,1.8854,137500.0,16.73,0,0,0,1,0.26426426426426425,0.26013847675568746
39.0,1469.0,1464.0,2.1638,105500.0,15.86,0,0,0,1,0.29339686861810754,0.2657103825136612
47.0,1372.0,1237.0,2.125,95500.0,15.86,0,0,0,1,0.2879008746355685,0.24494745351657235
52.0,674.0,647.0,3.375,116100.0,15.86,0,0,0,1,0.26706231454005935,0.2596599690880989
43.0,1626.0,1284.0,2.2542,112200.0,15.86,0,0,0,1,0.23124231242312424,0.2780373831775701
51.0,175.0,228.0,2.1,75000.0,14.98,0,0,0,1,0.24571428571428572,0.2412280701754386
39.0,461.0,381.0,1.6,112500.0,14.98,0,0,0,1,0.279826464208243,0.3228346456692913
52.0,902.0,846.0,3.625,125000.0,14.98,0,0,0,1,0.26274944567627495,0.26832151300236406
20.0,2373.0,1659.0,1.6929,115000.0,14.28,0,0,0,1,0.3282764433206911,0.4074743821579265
52.0,391.0,520.0,1.6471,95000.0,17.53,0,0,0,1,0.3273657289002558,0.2653846153846154
52.0,1137.0,866.0,2.59,96400.0,17.53,0,0,0,1,0.2647317502198769,0.29907621247113164
52.0,769.0,612.0,2.57,72000.0,16.66,0,0,0,1,0.26788036410923277,0.29901960784313725
52.0,472.0,415.0,2.6429,71300.0,16.66,0,0,0,1,0.3093220338983051,0.3036144578313253
52.0,862.0,994.0,3.0257,80800.0,16.66,0,0,0,1,0.2494199535962877,0.21428571428571427
50.0,1920.0,1525.0,1.4886,128800.0,17.53,0,0,0,1,0.2760416666666667,0.31278688524590165
43.0,1420.0,1506.0,1.9338,112500.0,16.66,0,0,0,1,0.3323943661971831,0.2908366533864542
52.0,986.0,1008.0,1.4844,119400.0,16.66,0,0,0,1,0.2616632860040568,0.25297619047619047
44.0,2340.0,2813.0,1.6009,118100.0,16.66,0,0,0,1,0.3525641025641026,0.2669747600426591
48.0,1696.0,1481.0,2.0375,122500.0,16.73,0,0,0,1,0.23349056603773585,0.23160027008777853
49.0,1175.0,859.0,2.293,106300.0,16.73,0,0,0,1,0.18468085106382978,0.2549476135040745
37.0,2343.0,1608.0,2.1494,132500.0,17.6,0,0,0,1,0.24498506188647035,0.3252487562189055
30.0,610.0,425.0,1.6198,122700.0,16.73,0,0,0,1,0.23770491803278687,0.32941176470588235
40.0,930.0,564.0,1.3281,113300.0,16.73,0,0,0,1,0.21397849462365592,0.3262411347517731
44.0,1487.0,961.0,3.5156,109500.0,17.6,0,0,0,1,0.21116341627437793,0.28303850156087407
52.0,3424.0,2273.0,3.9048,164700.0,17.6,0,0,0,1,0.20151869158878505,0.30136383633963926
52.0,762.0,600.0,3.0893,125000.0,18.48,0,0,0,1,0.24934383202099739,0.325
46.0,2366.0,1647.0,2.6042,124700.0,17.6,0,0,0,1,0.24302620456466612,0.31997571341833636
49.0,1826.0,1201.0,2.5,136700.0,17.6,0,0,0,1,0.24644030668127054,0.3530391340549542
38.0,3049.0,2167.0,2.7969,141700.0,17.6,0,0,0,1,0.23319121023286324,0.3041070604522381
29.0,1640.0,939.0,2.8321,150000.0,19.35,0,0,0,1,0.22926829268292684,0.362087326943557
47.0,1543.0,859.0,2.9583,138800.0,18.48,0,0,0,1,0.19896305897602073,0.33993015133876603
34.0,2364.0,1517.0,2.8365,139200.0,18.48,0,0,0,1,0.2356175972927242,0.34014502307185235
35.0,1745.0,1143.0,2.875,143800.0,18.48,0,0,0,1,0.2343839541547278,0.33770778652668415
39.0,2003.0,1109.0,3.0682,156500.0,18.61,0,0,0,1,0.24962556165751373,0.41839495040577096
39.0,2018.0,1221.0,3.0757,151000.0,18.61,0,0,0,1,0.22150644202180378,0.3652743652743653
43.0,3045.0,1115.0,4.9559,273000.0,19.48,0,0,0,1,0.1638752052545156,0.4080717488789238
52.0,1547.0,706.0,4.7721,217100.0,19.48,0,0,0,1,0.18939883645765998,0.37960339943342775
52.0,3519.0,1883.0,3.4861,187100.0,18.61,0,0,0,1,0.2020460358056266,0.3749336165693043
41.0,2070.0,804.0,5.1184,239600.0,19.48,0,0,0,1,0.17101449275362318,0.4228855721393035
48.0,1321.0,506.0,4.0977,229700.0,18.61,0,0,0,1,0.19909159727479184,0.4980237154150198
48.0,1694.0,610.0,4.744,257300.0,20.35,0,0,0,1,0.15289256198347106,0.3901639344262295
46.0,1938.0,768.0,4.2727,246900.0,20.35,0,0,0,1,0.17595459236326108,0.4322916666666667
50.0,968.0,462.0,2.9844,179900.0,20.23,0,0,0,1,0.20144628099173553,0.39826839826839827
40.0,1060.0,667.0,4.1739,169600.0,19.35,0,0,0,1,0.24150943396226415,0.3523238380809595
46.0,2041.0,1059.0,3.8487,203300.0,19.48,0,0,0,1,0.19843214110730034,0.37677053824362605
52.0,1813.0,637.0,4.0114,263400.0,20.35,0,0,0,1,0.14947600661886376,0.434850863422292
45.0,2718.0,1106.0,4.6563,231800.0,20.23,0,0,0,1,0.1659308314937454,0.4104882459312839
28.0,3144.0,1737.0,2.9297,140500.0,20.23,0,0,0,1,0.24204834605597964,0.385146804835924
35.0,1802.0,1009.0,2.3036,126000.0,19.35,0,0,0,1,0.25471698113207547,0.3865213082259663
49.0,882.0,737.0,2.6667,122000.0,19.35,0,0,0,1,0.22108843537414966,0.28493894165535955
44.0,1621.0,1354.0,2.619,134700.0,19.35,0,0,0,1,0.27884022208513265,0.362629246676514
45.0,2115.0,1530.0,2.4167,139400.0,18.48,0,0,0,1,0.2520094562647754,0.30980392156862746
45.0,2021.0,1410.0,2.7788,115400.0,19.35,0,0,0,1,0.2612568035625928,0.3404255319148936
46.0,2239.0,1390.0,2.7352,137300.0,18.41,0,0,0,1,0.2268870031263957,0.4093525179856115
52.0,1477.0,1065.0,1.8472,137000.0,18.41,0,0,0,1,0.2031144211238998,0.25258215962441316
52.0,1056.0,792.0,2.6583,142600.0,18.41,0,0,0,1,0.21212121212121213,0.30934343434343436
49.0,898.0,779.0,3.0536,137500.0,18.41,0,0,0,1,0.2717149220489978,0.31450577663671375
44.0,2968.0,2269.0,2.3906,111700.0,17.53,0,0,0,1,0.23921832884097036,0.26884089907448216
43.0,1702.0,1227.0,1.7188,126800.0,18.41,0,0,0,1,0.2702702702702703,0.33170334148329256
47.0,881.0,753.0,2.625,111300.0,18.41,0,0,0,1,0.2814982973893303,0.3200531208499336
40.0,494.0,547.0,2.8015,114800.0,17.53,0,0,0,1,0.23076923076923078,0.24680073126142596
50.0,1776.0,1807.0,1.7276,102300.0,17.53,0,0,0,1,0.26632882882882886,0.24349750968456005
44.0,1678.0,1700.0,2.0801,131900.0,17.53,0,0,0,1,0.3063170441001192,0.2911764705882353
51.0,1637.0,1543.0,2.489,119100.0,17.53,0,0,0,1,0.28283445326817347,0.254698639014906
52.0,1420.0,1085.0,1.7546,80600.0,18.48,0,0,0,1,0.2211267605633803,0.2764976958525346
52.0,591.0,353.0,4.0904,80600.0,18.41,0,0,0,1,0.2927241962774958,0.3881019830028329
52.0,745.0,473.0,2.6765,88800.0,18.41,0,0,0,1,0.20536912751677852,0.3150105708245243
49.0,2272.0,1621.0,2.4338,102400.0,19.29,0,0,0,1,0.21919014084507044,0.29796421961752007
46.0,1234.0,1183.0,2.3309,98700.0,18.41,0,0,0,1,0.3038897893030794,0.2992392223161454
43.0,1017.0,836.0,2.2604,100000.0,18.41,0,0,0,1,0.3225172074729597,0.33133971291866027
42.0,932.0,900.0,1.8039,92300.0,20.17,0,0,0,1,0.27253218884120173,0.2922222222222222
39.0,2689.0,1888.0,2.2562,94800.0,19.29,0,0,0,1,0.2220156191892897,0.2844279661016949
41.0,1547.0,1024.0,2.0562,102000.0,19.29,0,0,0,1,0.2682611506140918,0.3330078125
